node_id,in_degree,out_degree,directed_total_degree,undirected_degree
1,18,18,36,18
5,56,56,112,56
7,12,12,24,12
9,37,37,74,37
13,10,10,20,10
27,74,74,148,74
39,16,16,32,16
44,9,9,18,9
45,25,25,50,25
46,91,91,182,91
49,9,9,18,9
50,9,9,18,9
53,97,97,194,97
54,78,78,156,78
55,10,10,20,10
56,232,232,464,232
59,10,10,20,10
60,12,12,24,12
62,12,12,24,12
72,289,289,578,289
73,114,114,228,114
74,230,230,460,230
75,204,204,408,204
76,627,627,1254,627
78,251,251,502,251
79,81,81,162,81
80,140,140,280,140
81,83,83,166,83
82,105,105,210,105
83,178,178,356,178
84,44,44,88,44
85,28,28,56,28
86,102,102,204,102
87,41,41,82,41
88,253,253,506,253
89,188,188,376,188
90,230,230,460,230
91,107,107,214,107
92,55,55,110,55
93,358,358,716,358
95,280,280,560,280
96,15,15,30,15
97,42,42,84,42
99,19,19,38,19
101,52,52,104,52
102,103,103,206,103
106,303,303,606,303
107,160,160,320,160
108,20,20,40,20
109,287,287,574,287
111,171,171,342,171
112,45,45,90,45
113,31,31,62,31
114,143,143,286,143
115,115,115,230,115
116,218,218,436,218
118,94,94,188,94
119,43,43,86,43
120,13,13,26,13
121,27,27,54,27
122,85,85,170,85
123,21,21,42,21
125,6,6,12,6
126,31,31,62,31
127,348,348,696,348
128,118,118,236,118
131,106,106,212,106
132,40,40,80,40
133,93,93,186,93
134,351,351,702,351
135,13,13,26,13
136,792,792,1584,792
137,14,14,28,14
138,86,86,172,86
140,695,695,1390,695
141,19,19,38,19
143,127,127,254,127
144,119,119,238,119
145,115,115,230,115
146,214,214,428,214
147,119,119,238,119
149,40,40,80,40
151,89,89,178,89
153,13,13,26,13
154,41,41,82,41
155,313,313,626,313
156,49,49,98,49
157,42,42,84,42
160,20,20,40,20
164,91,91,182,91
165,134,134,268,134
166,70,70,140,70
168,116,116,232,116
169,29,29,58,29
171,129,129,258,129
172,155,155,310,155
173,98,98,196,98
174,50,50,100,50
175,464,464,928,464
177,82,82,164,82
178,31,31,62,31
180,144,144,288,144
183,114,114,228,114
184,173,173,346,173
185,80,80,160,80
186,211,211,422,211
187,52,52,104,52
188,411,411,822,411
192,158,158,316,158
193,90,90,180,90
194,177,177,354,177
195,846,846,1692,846
196,21,21,42,21
197,83,83,166,83
198,36,36,72,36
200,77,77,154,77
203,51,51,102,51
205,108,108,216,108
206,58,58,116,58
207,51,51,102,51
212,5,5,10,5
213,354,354,708,354
215,247,247,494,247
217,23,23,46,23
218,49,49,98,49
219,32,32,64,32
221,65,65,130,65
223,33,33,66,33
224,85,85,170,85
225,219,219,438,219
226,21,21,42,21
227,50,50,100,50
228,134,134,268,134
229,131,131,262,131
230,48,48,96,48
232,315,315,630,315
233,234,234,468,234
234,153,153,306,153
235,115,115,230,115
236,21,21,42,21
239,83,83,166,83
240,210,210,420,210
241,404,404,808,404
242,16,16,32,16
243,211,211,422,211
244,103,103,206,103
245,134,134,268,134
246,41,41,82,41
249,17,17,34,17
250,192,192,384,192
251,80,80,160,80
252,102,102,204,102
254,34,34,68,34
255,260,260,520,260
260,38,38,76,38
261,140,140,280,140
263,114,114,228,114
264,158,158,316,158
265,276,276,552,276
267,54,54,108,54
269,104,104,208,104
271,112,112,224,112
273,724,724,1448,724
274,242,242,484,242
277,94,94,188,94
279,54,54,108,54
280,84,84,168,84
281,67,67,134,67
284,104,104,208,104
286,400,400,800,400
287,61,61,122,61
288,18,18,36,18
289,17,17,34,17
290,52,52,104,52
291,45,45,90,45
292,627,627,1254,627
293,120,120,240,120
295,41,41,82,41
296,35,35,70,35
297,15,15,30,15
299,251,251,502,251
300,231,231,462,231
301,141,141,282,141
305,28,28,56,28
306,27,27,54,27
307,58,58,116,58
308,283,283,566,283
309,55,55,110,55
312,65,65,130,65
313,96,96,192,96
314,254,254,508,254
315,105,105,210,105
316,131,131,262,131
317,10,10,20,10
318,47,47,94,47
319,157,157,314,157
320,65,65,130,65
322,32,32,64,32
324,42,42,84,42
326,168,168,336,168
329,22,22,44,22
330,10,10,20,10
331,31,31,62,31
335,148,148,296,148
336,189,189,378,189
338,31,31,62,31
339,22,22,44,22
340,88,88,176,88
341,30,30,60,30
342,208,208,416,208
343,319,319,638,319
344,127,127,254,127
345,146,146,292,146
346,51,51,102,51
347,49,49,98,49
348,10,10,20,10
349,29,29,58,29
350,17,17,34,17
353,454,454,908,454
354,112,112,224,112
355,199,199,398,199
357,113,113,226,113
358,52,52,104,52
360,119,119,238,119
362,13,13,26,13
364,72,72,144,72
367,215,215,430,215
368,120,120,240,120
370,711,711,1422,711
371,15,15,30,15
372,41,41,82,41
373,23,23,46,23
374,24,24,48,24
375,22,22,44,22
376,17,17,34,17
377,31,31,62,31
378,218,218,436,218
379,38,38,76,38
380,45,45,90,45
381,47,47,94,47
382,115,115,230,115
383,297,297,594,297
384,38,38,76,38
385,127,127,254,127
386,126,126,252,126
388,159,159,318,159
389,16,16,32,16
390,4,4,8,4
391,91,91,182,91
393,138,138,276,138
