node_id,in_degree,out_degree,total_degree,undirected_degree
1,23,23,46,23
4,6,6,12,6
5,59,59,118,59
6,7,7,14,7
7,13,13,26,13
9,38,38,76,38
13,10,10,20,10
15,6,6,12,6
27,75,75,150,75
39,18,18,36,18
44,10,10,20,10
45,25,25,50,25
46,96,96,192,96
49,10,10,20,10
50,11,11,22,11
51,7,7,14,7
53,99,99,198,99
54,81,81,162,81
55,11,11,22,11
56,246,246,492,246
59,10,10,20,10
60,12,12,24,12
62,12,12,24,12
69,6,6,12,6
72,316,316,632,316
73,122,122,244,122
74,245,245,490,245
75,214,214,428,214
76,687,687,1374,687
78,266,266,532,266
79,89,89,178,89
80,155,155,310,155
81,90,90,180,90
82,122,122,244,122
83,191,191,382,191
84,47,47,94,47
85,30,30,60,30
86,111,111,222,111
87,43,43,86,43
88,273,273,546,273
89,198,198,396,198
90,252,252,504,252
91,112,112,224,112
92,58,58,116,58
93,376,376,752,376
94,8,8,16,8
95,334,334,668,334
96,16,16,32,16
97,43,43,86,43
99,19,19,38,19
101,67,67,134,67
102,113,113,226,113
106,343,343,686,343
107,184,184,368,184
108,20,20,40,20
109,303,303,606,303
111,172,172,344,172
112,50,50,100,50
113,31,31,62,31
114,170,170,340,170
115,118,118,236,118
116,223,223,446,223
118,97,97,194,97
119,44,44,88,44
120,13,13,26,13
121,28,28,56,28
122,91,91,182,91
123,21,21,42,21
125,7,7,14,7
126,31,31,62,31
127,388,388,776,388
128,136,136,272,136
131,107,107,214,107
132,44,44,88,44
133,97,97,194,97
134,377,377,754,377
135,13,13,26,13
136,868,868,1736,868
137,17,17,34,17
138,94,94,188,94
140,858,858,1716,858
141,20,20,40,20
142,2,2,4,2
143,132,132,264,132
144,123,123,246,123
145,120,120,240,120
146,229,229,458,229
147,136,136,272,136
149,44,44,88,44
150,8,8,16,8
151,97,97,194,97
153,13,13,26,13
154,44,44,88,44
155,347,347,694,347
156,58,58,116,58
157,43,43,86,43
160,21,21,42,21
164,93,93,186,93
165,146,146,292,146
166,71,71,142,71
168,119,119,238,119
169,32,32,64,32
171,143,143,286,143
172,167,167,334,167
173,104,104,208,104
174,50,50,100,50
175,481,481,962,481
177,84,84,168,84
178,31,31,62,31
180,150,150,300,150
183,116,116,232,116
184,194,194,388,194
185,82,82,164,82
186,218,218,436,218
187,52,52,104,52
188,441,441,882,441
191,5,5,10,5
192,163,163,326,163
193,93,93,186,93
194,178,178,356,178
195,943,943,1886,943
196,24,24,48,24
197,90,90,180,90
198,42,42,84,42
200,87,87,174,87
203,51,51,102,51
205,120,120,240,120
206,58,58,116,58
207,54,54,108,54
212,7,7,14,7
213,414,414,828,414
215,261,261,522,261
217,27,27,54,27
218,54,54,108,54
219,37,37,74,37
220,8,8,16,8
221,71,71,142,71
223,36,36,72,36
224,91,91,182,91
225,257,257,514,257
226,21,21,42,21
227,51,51,102,51
228,136,136,272,136
229,137,137,274,137
230,50,50,100,50
231,9,9,18,9
232,339,339,678,339
233,247,247,494,247
234,156,156,312,156
235,119,119,238,119
236,23,23,46,23
237,5,5,10,5
239,86,86,172,86
240,216,216,432,216
241,429,429,858,429
242,16,16,32,16
243,228,228,456,228
244,108,108,216,108
245,135,135,270,135
246,41,41,82,41
249,17,17,34,17
250,196,196,392,196
251,81,81,162,81
252,104,104,208,104
254,37,37,74,37
255,272,272,544,272
257,6,6,12,6
260,40,40,80,40
261,145,145,290,145
263,128,128,256,128
264,161,161,322,161
265,291,291,582,291
267,59,59,118,59
269,106,106,212,106
271,116,116,232,116
272,5,5,10,5
273,876,876,1752,876
274,267,267,534,267
276,9,9,18,9
277,100,100,200,100
279,59,59,118,59
280,86,86,172,86
281,69,69,138,69
282,8,8,16,8
284,123,123,246,123
286,479,479,958,479
287,62,62,124,62
288,20,20,40,20
289,17,17,34,17
290,57,57,114,57
291,46,46,92,46
292,702,702,1404,702
293,125,125,250,125
295,44,44,88,44
296,39,39,78,39
297,15,15,30,15
299,274,274,548,274
300,241,241,482,241
301,162,162,324,162
305,28,28,56,28
306,27,27,54,27
307,59,59,118,59
308,311,311,622,311
309,57,57,114,57
312,70,70,140,70
313,98,98,196,98
